,Yards Gained,3 secs,4 secs,5 secs,6 secs,7 secs,8 secs,9 secs,10 secs,11 secs,12 secs,13 secs,14 secs,15 secs,16 secs,17 secs,18 secs,19 secs,20 secs,21 secs,22 secs
44,65.0,4.077209139718131e-06,3.1197562131872734e-05,0.00020826726686467244,0.0011015053801946507,0.00461616671409136,0.015330763788140297,0.040353821078442,0.084195134021043,0.13925295452512693,0.1825830664328016,0.18978771486298568,0.15639723390694948,0.10217254012270405,0.05291312579758689,0.021721328758200542,0.007067457245407582,0.0018224067721395176,0.0003723718256779529,6.028308356131884e-05,0.9999914163531891
45,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,60.0,0.004727607958018922,0.0070641773763802955,0.014853937948981337,0.02801426689921387,0.04738899506442102,0.07190163599520494,0.09785094951932605,0.11944219504365244,0.13077294869211903,0.1284239128423038,0.11312058283630155,0.08937262618492159,0.06333349204450345,0.040255641291097044,0.022949981299575706,0.011735391363619008,0.005382318382689877,0.0022140845937219655,0.0008168984483460928,0.999621643784398
47,61.0,2.3292655003622382e-05,0.00021056999872083834,0.0014881383984172815,0.007626660499567451,0.028355570426743838,0.07650697655900461,0.1498439483584023,0.21307647226734894,0.22000590807581905,0.16494525450124242,0.08978741454056127,0.03548019776909739,0.010175157581923555,0.002117094907566175,0.00031946185933673377,3.494579877039161e-05,2.7699674057801715e-06,1.5902270200651714e-07,6.609204294960591e-09,0.999999999796838
48,19.0,0.015130140010235814,0.018246367574581444,0.033430693684040814,0.05486530330552315,0.08065587638926186,0.1062091577623438,0.12527862866310946,0.13236766522180732,0.12527862866310946,0.10620915776234374,0.08065587638926197,0.05486530330552308,0.033430693684040835,0.018246367574581424,0.008920474684459667,0.003906399194080312,0.0015322813472258279,0.000538355705434479,0.00016941984716711822,0.9999367907681316
49,22.0,0.06680720126885807,0.05486530330552315,0.08065587638926186,0.1062091577623438,0.12527862866310946,0.13236766522180732,0.12527862866310946,0.10620915776234374,0.08065587638926197,0.05486530330552308,0.033430693684040835,0.018246367574581424,0.008920474684459667,0.003906399194080312,0.0015322813472258279,0.000538355705434479,0.00016941984716711822,4.7754934986099506e-05,1.2056623757583651e-05,0.9999966023268753
50,24.0,0.03728304485877505,0.02964252492116301,0.0452480887748697,0.06375008593289078,0.08290055578982092,0.09950175449866855,0.11023030508307713,0.11271155685420087,0.10637341414957524,0.09266054480525188,0.07449951398148213,0.055285145459953666,0.037866863878973867,0.023938965296421366,0.0139683693729028,0.007522797064197229,0.003739427717469379,0.001715622858315502,0.0007264872234878927,0.999565068521497
51,15.0,0.025640825695837297,0.017950690127463476,0.02694850044378938,0.03822664026957669,0.0512360875461228,0.06488798475687774,0.07764817786368744,0.08779646418128217,0.09379974114716988,0.09469022636258434,0.09032075867015876,0.08140458651784832,0.06932485642627406,0.05578375978882122,0.04241360034683017,0.030470590453148594,0.02068401068661918,0.013266810765166115,0.008040367896763212,0.9905346799460208
52,21.0,3.060805256517113e-11,2.12263639886804e-08,4.9271103405815835e-06,0.00038652074163293676,0.010386664271062619,0.09718433609006215,0.321879428129263,0.38177854349487583,0.162464595296836,0.024587948929213677,0.0013030872598692733,2.3779849775640294e-05,1.4726385455521296e-07,3.060299791357579e-10,2.1171953079601735e-13,0.0,0.0,0.0,0.0,1.0
53,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,18.0,1.898956246588768e-08,3.3786835622641657e-06,0.00022923140591079495,0.005977036246740607,0.06059753594308194,0.2417303374571288,0.38292492254802624,0.2417303374571288,0.060597535943081926,0.005977036246740619,0.00022923140591080138,3.378683562260676e-06,1.8949402491585943e-08,4.012812304665658e-11,3.186340080674199e-14,0.0,0.0,0.0,0.0,1.0
56,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,6.0,1.530626736531063e-06,3.0140615096588802e-05,0.0003973890913637173,0.0034013202343928994,0.018919751380589458,0.06846108777768868,0.16128131782105504,0.2475074624530771,0.2475074624530771,0.16128131782105504,0.06846108777768867,0.018919751380589434,0.0034013202343929905,0.0003973890913636646,3.014061509654109e-05,1.4824137029023632e-06,4.7226445976100706e-08,9.73503722079272e-10,1.2971734797417867e-11,0.9999999999998878
58,4.0,1.0170832425687032e-06,9.671442532365698e-06,7.772875942586937e-05,0.0004886077571899622,0.002402738192663789,0.00924470941999014,0.02783468420877239,0.06559061680303827,0.12097757871001286,0.1746663219402081,0.1974126513658474,0.17466632194020804,0.12097757871001291,0.06559061680303824,0.027834684208772442,0.009244709419990116,0.002402738192663789,0.0004886077571899516,7.772875942591018e-05,0.9999893114742251
59,27.0,0.01942993566964385,0.02564671178991486,0.047756001210588414,0.07760591686975671,0.11006185285971809,0.13622511128234516,0.14714919523535208,0.13872019992543594,0.1141305893739426,0.08194889843670472,0.05135228731728192,0.02808327481152406,0.013402983057438811,0.005582314206751815,0.002028983025898823,0.0006435541380273024,0.00017812486627188928,4.302156259894385e-05,9.066894243625612e-06,0.9999980225334396
60,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,68.0,4.570649204123299e-10,5.519546292479037e-08,3.493301637608932e-06,0.0001157327728489008,0.0020140806840737045,0.01848005425749378,0.08972226429134157,0.23121001819488096,0.31690860169039126,0.23121001819488096,0.08972226429134156,0.018480054257493772,0.0020140806840737158,0.00011573277284893102,3.493301637624846e-06,5.519546286691934e-08,4.551075072356525e-10,1.9531043449205754e-12,4.3298697960381105e-15,1.0
63,62.0,0.005393724627335172,0.010098300421893146,0.02328605832260441,0.04612716917092804,0.07849453129172224,0.1147494468028844,0.1441104030991026,0.15548073252705996,0.1441104030991026,0.11474944680288446,0.07849453129172224,0.04612716917092796,0.02328605832260444,0.010098300421893192,0.003761866176499984,0.0012037856076246856,0.0003308812820427276,7.811917225419851e-05,1.5841246422287902e-05,0.9999967688575088
64,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,16.0,2.7536241186061556e-89,9.740948918936876e-73,6.388754400537896e-58,7.793536819192162e-45,1.7764821120698593e-33,7.619853022383988e-24,6.22096049807321e-16,9.865870229416372e-10,3.167025524547483e-05,0.022718460706346075,0.4772498680518208,0.4772498680518208,0.02271846070634609,3.1670255245419554e-05,9.865870342906646e-10,6.661338147750939e-16,0.0,0.0,0.0,1.0
66,67.0,4.821303365114125e-08,1.4824137028799217e-06,3.0140615096588802e-05,0.0003973890913637173,0.0034013202343928994,0.018919751380589458,0.06846108777768868,0.16128131782105504,0.2475074624530771,0.2475074624530771,0.16128131782105504,0.06846108777768867,0.018919751380589434,0.0034013202343929905,0.0003973890913636646,3.014061509654109e-05,1.4824137029023632e-06,4.7226445976100706e-08,9.73503722079272e-10,0.999999999986916
67,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,8.0,4.319006317809202e-26,1.0494083174730824e-21,9.478485370695713e-18,3.189943719428664e-14,4.0128096921861774e-11,1.894940246004909e-08,3.3786835622641657e-06,0.00022923140591079495,0.005977036246740607,0.06059753594308194,0.2417303374571288,0.38292492254802624,0.2417303374571288,0.060597535943081926,0.005977036246740619,0.00022923140591080138,3.378683562260676e-06,1.8949402491585943e-08,4.012812304665658e-11,0.9999999999999681
71,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
